区,区分,人口,年少人口,0～ 4歳,5～ 9,10～14,生産年齢  人    口,15～19歳,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,老年人口,65～69歳,70～74,75～79,80～84,85～89,90～94,95～99,100歳  以上
全市,全市,1961682,218302,66746,74388,77168,1202767,81183,96070,102178,110468,123680,139661,158402,139249,130059,121817,540613,135894,142449,99130,74461,53439,26532,7561,1147
中央区,中央区,239858,24262,7829,8215,8218,158740,8643,13034,15691,15782,16746,18191,20684,18704,16897,14368,56856,14238,14675,9914,7716,6179,3140,865,129
中央区,大通東２丁目,278,35,10,16,9,168,8,6,7,10,11,24,31,30,26,15,75,18,22,12,12,10,1,-,-
中央区,大通東３丁目,432,34,14,14,6,347,16,46,41,29,32,37,48,37,34,27,51,23,9,9,4,3,3,-,-
中央区,大通東４丁目,303,34,19,9,6,238,14,21,30,28,36,44,32,19,9,5,31,8,12,5,5,-,1,-,-
中央区,大通東５丁目,259,5,3,1,1,220,2,30,49,41,31,26,16,9,10,6,34,8,12,4,8,-,2,-,-
中央区,大通東６丁目,265,54,28,20,6,188,5,10,11,20,33,46,26,15,14,8,23,6,5,2,3,4,3,-,-
中央区,大通東７丁目,309,26,7,13,6,247,7,16,36,37,27,32,30,29,19,14,36,8,15,5,5,2,1,-,-
中央区,大通東８丁目,441,39,14,15,10,315,10,25,42,45,41,25,31,33,39,24,87,27,23,15,9,4,4,4,1
中央区,大通東９丁目,300,19,5,5,9,207,14,22,23,17,15,18,19,31,28,20,74,18,20,15,10,10,1,-,-
中央区,大通東１０丁目,398,44,10,16,18,259,22,15,15,15,25,27,30,40,45,25,95,37,30,9,8,8,3,-,-
中央区,大通東１１丁目,171,9,1,4,4,77,3,4,4,8,7,10,8,3,18,12,85,16,17,20,16,12,4,-,-
中央区,大通東１２丁目,39,3,2,-,1,19,-,1,2,1,2,1,5,1,2,4,17,3,6,5,2,1,-,-,-
中央区,大通西６丁目,72,7,2,4,1,58,3,2,5,8,8,10,5,7,7,3,7,3,1,1,1,1,-,-,-
中央区,大通西７丁目,78,3,-,-,3,41,2,-,1,1,-,4,14,8,5,6,34,13,7,6,3,1,3,1,-
中央区,大通西８丁目,100,4,3,-,1,80,-,8,6,14,12,9,10,9,8,4,16,6,6,2,-,1,1,-,-
中央区,大通西９丁目,169,13,4,7,2,103,4,3,2,7,12,15,20,17,15,8,53,14,16,12,8,3,-,-,-
中央区,大通西１０丁目,199,15,7,6,2,133,7,3,5,12,11,17,16,25,16,21,51,13,16,8,9,4,1,-,-
中央区,大通西１１丁目,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
中央区,大通西１２丁目,31,-,-,-,-,3,-,1,-,-,-,-,-,-,2,-,28,1,-,2,5,6,12,2,-
中央区,大通西１３丁目,124,14,11,3,-,107,2,5,16,21,19,17,12,3,6,6,3,1,1,1,-,-,-,-,-
中央区,大通西１４丁目,206,4,2,2,-,174,6,20,27,23,18,16,24,15,13,12,28,6,7,5,7,2,1,-,-
中央区,大通西１５丁目,693,65,24,23,18,486,11,42,67,61,56,57,62,46,40,44,142,40,33,27,12,17,10,2,1
中央区,大通西１６丁目,398,28,9,9,10,276,14,34,24,35,30,23,32,27,27,30,94,37,22,22,5,4,3,1,-
中央区,大通西１７丁目,420,12,9,1,2,342,17,28,56,56,42,32,44,29,24,14,66,12,17,13,14,8,1,-,1
中央区,大通西１８丁目,438,18,7,8,3,319,4,13,39,39,34,42,37,48,40,23,101,19,28,24,18,7,4,1,-
中央区,大通西１９丁目,272,20,13,6,1,140,3,14,11,16,17,16,14,15,18,16,112,15,22,13,27,25,10,-,-
中央区,大通西２０丁目,306,33,7,11,15,196,6,21,15,19,18,23,33,24,23,14,77,19,17,18,4,14,3,2,-
中央区,大通西２１丁目,255,32,13,11,8,157,3,6,9,30,21,19,17,29,15,8,66,14,19,10,10,11,1,1,-
中央区,大通西２２丁目,369,26,16,6,4,273,4,16,42,33,40,31,28,25,36,18,70,17,24,11,6,9,2,1,-
中央区,大通西２３丁目,550,75,23,25,27,370,6,22,35,39,56,56,51,48,32,25,105,26,36,19,15,5,2,1,1
中央区,大通西２４丁目,806,119,32,46,41,490,28,21,18,42,66,66,71,67,64,47,197,65,52,32,23,18,6,-,1
中央区,大通西２５丁目,81,10,7,2,1,46,2,1,4,13,5,3,5,7,1,5,25,5,6,4,4,4,2,-,-
中央区,大通西２６丁目,254,16,3,4,9,164,5,11,11,17,14,23,29,21,15,18,74,16,18,17,8,8,7,-,-
中央区,大通西２７丁目,205,20,5,6,9,136,5,8,11,16,13,10,24,10,16,23,49,9,11,9,7,7,4,2,-
中央区,大通西２８丁目,201,23,11,9,3,122,6,6,7,8,13,26,15,18,9,14,56,15,18,8,8,5,2,-,-
中央区,南１条東２丁目,271,10,5,2,3,245,3,17,39,38,39,37,28,20,13,11,16,5,6,2,1,2,-,-,-
中央区,南１条東３丁目,505,47,19,14,14,388,32,40,34,36,31,45,46,55,39,30,70,18,26,14,6,3,1,2,-
中央区,南１条東４丁目,87,4,1,-,3,54,1,4,3,1,4,3,4,14,12,8,29,11,6,3,3,6,-,-,-
中央区,南１条東５丁目,331,18,1,6,11,201,16,11,5,5,9,19,28,32,48,28,112,36,31,14,13,10,7,1,-
中央区,南１条東６丁目,299,29,13,6,10,230,8,12,18,36,27,18,33,39,21,18,40,8,13,7,6,3,2,1,-
中央区,南１条東７丁目,489,52,12,16,24,349,18,29,23,24,41,31,61,51,39,32,88,27,20,21,10,7,2,1,-
中央区,南１条東８丁目,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
中央区,南２条東１丁目,72,4,3,-,1,45,1,-,10,9,6,6,1,3,7,2,23,9,4,1,3,2,3,1,-
中央区,南２条東２丁目,288,14,6,3,5,217,2,22,16,33,19,19,25,28,33,20,57,17,18,8,5,7,2,-,-
中央区,南２条東３丁目,293,17,11,4,2,212,4,11,20,27,33,20,37,24,27,9,64,22,18,7,10,4,3,-,-
中央区,南２条東４丁目,548,69,22,29,18,350,20,25,13,29,32,54,58,46,41,32,129,32,48,18,14,12,3,2,-
中央区,南２条東５丁目,345,40,14,14,12,254,6,20,33,15,45,42,26,21,25,21,51,15,20,5,5,3,2,1,-
中央区,南２条東６丁目,768,71,26,31,14,376,20,15,13,25,45,56,42,51,57,52,321,78,82,58,56,31,15,1,-
中央区,南３条東１丁目,179,-,-,-,-,110,2,4,18,14,10,12,18,7,8,17,69,5,10,13,17,13,11,-,-
中央区,南３条東２丁目,520,26,14,8,4,360,6,27,33,49,37,43,52,41,43,29,134,35,32,31,12,14,9,1,-
中央区,南３条東３丁目,820,61,32,18,11,631,10,37,93,106,104,89,70,49,47,26,128,28,19,12,17,28,17,6,1
中央区,南３条東４丁目,333,9,2,1,6,265,14,40,38,37,29,9,25,26,24,23,59,16,20,12,6,2,2,1,-
